ticker,quarter,lm_positive,lm_negative,lm_uncertainty,lm_litigious,lm_constraining,lm_net_sentiment,token_count,finbert_positive,finbert_negative,finbert_neutral,finbert_net_sentiment
AAPL,2021-Q1,0.031658637302133516,0.01605872906629961,0.016746960311998165,0.0004588208304657031,0.0029823353980270705,0.015599908235833907,4359,0.3576349914073944,0.08644309639930725,0.5559218525886536,0.27119189500808716
AAPL,2021-Q2,0.03198004082558403,0.018144704014515765,0.013608528010886823,0.0006804264005443411,0.004762984803810388,0.013835336811068268,4409,0.3417813777923584,0.074116550385952,0.5841020941734314,0.2676648274064064
AAPL,2021-Q3,0.04182424916573971,0.01646273637374861,0.016240266963292546,0.0011123470522803114,0.00489432703003337,0.025361512791991097,4495,0.3261745870113373,0.0783562883734703,0.5954691767692566,0.24781829863786697
AAPL,2021-Q4,0.025583982202447165,0.017352614015572858,0.014015572858731925,0.001557285873192436,0.007119021134593994,0.008231368186874307,4495,0.292655885219574,0.07451963424682617,0.6328244209289551,0.2181362509727478
AAPL,2022-Q1,0.03413217138707335,0.019365770999757927,0.01670297748729121,0.0012103606874848704,0.007262164124909223,0.014766400387315422,4131,0.3236418068408966,0.07617485523223877,0.6001833081245422,0.24746695160865784
AAPL,2022-Q2,0.03035294117647059,0.02164705882352941,0.017176470588235293,0.001176470588235294,0.01011764705882353,0.008705882352941178,4250,0.30001020431518555,0.11314841359853745,0.5868414044380188,0.1868617907166481
AAPL,2022-Q3,0.029195289499509322,0.022325809617271836,0.019381746810598625,0.0012266928361138372,0.00662414131501472,0.006869479882237486,4076,0.29195815324783325,0.13766877353191376,0.5703731179237366,0.1542893797159195
AAPL,2022-Q4,0.03698435277382646,0.01896633475580844,0.015410146989094358,0.001422475106685633,0.002844950213371266,0.018018018018018018,4218,0.32479435205459595,0.10734418034553528,0.5678614377975464,0.21745017170906067
AAPL,2023-Q1,0.028268551236749116,0.021908127208480566,0.011307420494699646,0.0007067137809187279,0.003297997644287397,0.006360424028268551,4245,0.30380335450172424,0.11010745167732239,0.5860891938209534,0.19369590282440186
AMZN,2021-Q1,0.03717201166180758,0.01749271137026239,0.01639941690962099,0.0007288629737609329,0.0014577259475218659,0.019679300291545188,2744,0.3541813790798187,0.05769745260477066,0.5881211757659912,0.29648392647504807
AMZN,2021-Q2,0.02911306702775897,0.018618821936357482,0.01828029790115098,0.0016926201760324984,0.003723764387271496,0.01049424509140149,2954,0.3728353977203369,0.09948111325502396,0.5276835560798645,0.27335428446531296
AMZN,2021-Q3,0.02606912712360867,0.018746338605741066,0.013181019332161687,0.0011716461628588166,0.003807850029291154,0.007322788517867603,3414,0.29489704966545105,0.1045834943652153,0.6005194783210754,0.19031355530023575
AMZN,2021-Q4,0.03512014787430684,0.020640788662969808,0.0166358595194085,0.0009242144177449168,0.0018484288354898336,0.014479359211337032,3246,0.33337560296058655,0.08370041847229004,0.582923948764801,0.2496751844882965
AMZN,2022-Q1,0.01667257892869812,0.02447676481021639,0.02199361475700603,0.000709471443774388,0.002128414331323164,-0.00780418588151827,2819,0.26075732707977295,0.1514245569705963,0.5878180861473083,0.10933277010917664
AMZN,2022-Q2,0.036420395421436005,0.019424210891432536,0.01768990634755463,0.001734304543877905,0.003121748178980229,0.01699618453000347,2883,0.3162717819213867,0.13647939264774323,0.5472488403320312,0.1797923892736435
AMZN,2022-Q3,0.033385093167701864,0.022127329192546584,0.018245341614906832,0.0007763975155279503,0.002717391304347826,0.01125776397515528,2576,0.30461183190345764,0.14884285628795624,0.5465453863143921,0.1557689756155014
AMZN,2022-Q4,0.020385050962627407,0.01868629671574179,0.022933182332955833,0.0028312570781426952,0.0019818799546998866,0.0016987542468856164,3532,0.24883486330509186,0.09879887104034424,0.6523662805557251,0.15003599226474762
BAC,2021-Q1,0.023700868541145295,0.015015457088179009,0.016045929633446195,0.0020609450905343736,0.0032386279994111584,0.008685411452966287,6793,0.30848103761672974,0.1308213472366333,0.5606975555419922,0.17765969038009644
BAC,2021-Q2,0.029770194986072425,0.019846796657381614,0.013927576601671309,0.003307799442896936,0.0031337047353760445,0.00992339832869081,5744,0.2966189980506897,0.17163310945034027,0.5317479372024536,0.12498588860034943
BAC,2021-Q3,0.03053691275167785,0.017281879194630874,0.013758389261744967,0.001174496644295302,0.002181208053691275,0.013255033557046977,5960,0.3321288824081421,0.10953542590141296,0.5583357214927673,0.22259345650672913
BAC,2021-Q4,0.02576112412177986,0.011241217798594848,0.012958626073380173,0.001717408274785324,0.002029664324746292,0.014519906323185013,6405,0.33009159564971924,0.09699323773384094,0.5729151368141174,0.2330983579158783
BAC,2022-Q1,0.024958170663692138,0.018544339096486336,0.016592303402119354,0.0019520356943669827,0.0013943112102621305,0.0064138315672058015,7172,0.2989286184310913,0.12185420840978622,0.5792171359062195,0.17707441002130508
BAC,2022-Q2,0.020719929762949955,0.021246707638279193,0.010886742756804214,0.0024582967515364355,0.0024582967515364355,-0.0005267778753292388,5695,0.3242112696170807,0.1234724149107933,0.5523163080215454,0.20073885470628738
BAC,2022-Q3,0.02433371958285052,0.02187137891077636,0.011732329084588645,0.003910776361529548,0.0014484356894553883,0.0024623406720741606,6904,0.29442811012268066,0.13162481784820557,0.573947012424469,0.1628032922744751
GOOGL,2021-Q1,0.03815822945815314,0.013228186212159756,0.008903586873569066,0.0007631645891630628,0.0012719409819384382,0.024930043245993384,3931,0.34415075182914734,0.05646407604217529,0.599385142326355,0.28768667578697205
