Date,Close,High,Low,Open,Volume
2020-12-01,127.92597198486328,129.38352812199653,126.54650890458645,126.91956575188497,9738200
2020-12-02,128.52459716796875,129.88671786276657,128.14285599902277,128.27300225481096,7745500
2020-12-03,129.27072143554688,129.77392449014002,128.134182311532,128.43783042558326,7310500
2020-12-04,130.37255859375,130.40725631712434,129.50496988750783,129.95610648313954,6747100
2020-12-07,129.24472045898438,130.0602561492226,128.84562373712197,129.57440847972478,6634700
2020-12-08,131.48309326171875,131.99496750755728,129.7479155564855,130.13832789249193,8339800
2020-12-09,132.8278350830078,133.17486526719026,131.66525616545545,132.59358242759055,8440100
2020-12-10,132.0904083251953,132.72374450730555,131.5958763041483,132.58494034624232,7392900
2020-12-11,132.69772338867188,133.09682011892116,131.20546937908026,131.46574870416836,5977400
2020-12-14,129.33143615722656,133.1574917392703,129.26202748212663,132.9579500723275,8547300
2020-12-15,130.63287353515625,130.78903319052478,129.73057362072694,130.13834148310923,7612600
2020-12-16,129.8520050048828,130.93649092886128,129.74789859245402,130.3118259775814,8486100
2020-12-17,133.27896118164062,133.51321381861504,130.1035968551461,130.21637437503222,9920300
2020-12-18,134.05113220214844,134.56301962276322,131.58718334395758,133.30500535203672,17137200
2020-12-21,132.75845336914062,133.09681250088164,130.18171335113,131.88218013277768,7893400
2020-12-22,132.49813842773438,133.52188667059505,131.75201166629188,132.2205037079641,4699500
2020-12-23,131.82142639160156,133.26162678016564,131.7867154308624,132.56755318726164,4607300
2020-12-24,132.28128051757812,132.7757993061676,131.71735302845124,131.74337963635827,2114900
2020-12-28,132.90594482421875,133.4958989178798,132.13379123789417,133.01873561674168,3855500
2020-12-29,133.73011779785156,134.4155070260362,133.43514082563806,133.70409119667698,5212000
2020-12-30,135.3872528076172,135.6735587381154,134.1292515287782,134.2507134473208,5412800
2020-12-31,136.54115295410156,136.78407680061818,134.57172233422486,135.8036970525182,5099900
2021-01-04,135.7776336669922,136.54111597116906,133.72145265220595,136.41965408080938,11765900
2021-01-05,137.3740234375,137.73840918739782,134.53701726221925,135.56076581121465,9602300
2021-01-06,138.66673278808594,139.0137630460177,135.96853083184587,136.41968075784177,8230100
2021-01-07,139.13522338867188,139.70783522231213,137.3827033960478,137.94663086840657,7747200
2021-01-08,138.84889221191406,139.76854737061487,138.71008807857433,139.2566599672913,8228900
2021-01-11,138.2676239013672,139.95943266528548,137.74707856030776,139.3000566995804,7066200
2021-01-12,137.19180297851562,138.5192126073348,136.49772938293012,138.07673390549323,6903200
2021-01-13,136.98358154296875,137.47811346442703,135.9945309384054,137.27855852856501,6643100
2021-01-14,139.3781280517578,140.50599607976613,138.47584157236344,139.2046129486074,10030800
2021-01-15,139.07449340820312,140.03751754811904,138.04206057263005,139.07449340820312,7630800
2021-01-19,141.2261199951172,141.45168834316877,139.76857699843438,140.54940171260645,9057600
2021-01-20,140.8790740966797,142.40602562446927,140.3758710022326,141.5904900313431,6839900
2021-01-21,140.31509399414062,140.96578541364016,138.8662226886571,139.95939274596083,6818000
2021-01-22,141.8941650390625,143.29098367590422,140.43660882575313,140.86173214595917,8137000
2021-01-25,144.0023956298828,144.09783093425153,141.98959635368206,143.16083337454663,9924400
2021-01-26,147.9065399169922,150.6567949173574,146.96087127023054,147.22982168918523,14205700
2021-01-27,145.6508026123047,148.28826656979228,145.27773256835547,146.7266041825644,14207300
2021-01-28,146.76133728027344,148.2362357201834,145.58141588067434,145.92844613535118,8944400
2021-01-29,141.52975463867188,144.01973007293688,139.2913741127913,142.51012090756993,22505900
2021-02-01,141.16539001464844,143.4211131200858,141.06995470998746,143.4211131200858,9971400
2021-02-02,139.89871215820312,141.98960461479632,139.8379745799095,141.7466807783343,11443300
2021-02-03,139.24803161621094,140.1329760846241,138.44118021733223,139.6297728864424,8601900
2021-02-04,140.5407257080078,140.62747665192714,138.60599299779372,139.6818079615666,7758100
2021-02-05,142.67498779296875,143.53390554470704,142.16311353411464,143.03070240879168,9495300
2021-02-08,143.0827178955078,143.95030654142164,142.18043152863237,143.17815317609242,6035300
2021-02-09,144.25399780273438,144.531619343104,143.12612968128704,143.3256714045235,5544200
2021-02-10,144.72250366210938,145.7028833646724,143.75947944445048,145.65950127159016,5921300
2021-02-11,144.07179260253906,145.21701616176242,143.6727091719159,144.88732818470945,4871300
2021-02-12,144.52296447753906,144.75721719364378,142.2845834661157,142.63161374020268,4413100
2021-02-16,143.21292114257812,144.9307436385434,142.8398509923882,144.52297575358008,5656100
2021-02-17,143.72476196289062,144.0978187877504,142.59689388952017,143.12612358034414,6676700
2021-02-18,143.79415893554688,144.15854460862718,142.54482906306967,143.11744079434726,5189100
2021-02-19,141.39964294433594,143.9850675392747,141.3389186019618,143.672734988668,8190900
2021-02-22,141.3123016357422,141.89720919243206,139.93296202945268,141.3123016357422,6447100
2021-02-23,140.06393432617188,142.46468110712286,140.02900691328762,140.97184724758787,7042800
2021-02-24,141.94090270996094,143.51230355750278,140.4829959939077,141.77503077037215,10286100
2021-02-25,142.0892791748047,142.9099001740046,141.41707969325114,142.41229778738827,9719700
2021-02-26,138.3353729248047,141.78371495266794,137.90759878773517,141.4257823066038,14417500
2021-03-01,139.086181640625,141.01550161811974,138.88538231628985,140.94566011238211,10551400
2021-03-02,138.82432556152344,140.3607992367779,138.45766752495965,139.48780010565181,7610900
2021-03-03,136.37986755371094,138.7194978399225,136.2401845548883,138.15205397344843,8499600
2021-03-04,133.6299591064453,136.2751449272861,132.2331554221678,136.1791145074807,11033200
2021-03-05,136.27511596679688,136.79018205406348,133.68230850396787,134.42434948030848,8331600
2021-03-08,137.41001892089844,139.09491369275722,136.1703621049602,137.06082469589543,6546700
2021-03-09,137.67190551757812,140.33455447189445,136.96477863416553,136.96477863416553,7461300
2021-03-10,138.93777465820312,139.5925238570088,137.3751124315858,138.64969673312638,6635600
2021-03-11,138.92906188964844,140.2298352098045,138.7370010418158,139.27825616521267,6305600
2021-03-12,139.33062744140625,139.95044919034723,138.9726947013666,139.05126140403704,5474800
2021-03-15,140.0465087890625,140.25603336075852,138.37035217822023,139.4616010124333,5524100
